Codigo	Descripcion	Precio Costo	Precio Venta	Precio Mayoreo	Inventario	Inv. Minimo	Departamento
 CAM-DI	Cama Dinosaurio Mediana	$268.00	$550.00	$0.00	0	1	accesorios
 CAM-EST	Cama Estrella 	$150.00	$250.00	$0.00	1	1	accesorios
 CAM-GA	Cama Gato Gris Mediana	$168.00	$450.00	$0.00	1	1	accesorios
 CAM-HUE	Cama Huellitas Cafe 	$200.00	$350.00	$0.00	0	1	accesorios
 CAM-ROS	Cama Poliester Rosa Chica	$140.00	$200.00	$0.00	0	1	accesorios
 CAM-SPI	Cama Spiderman	$166.00	$350.00	$0.00	0	1	accesorios
7.75665E+12	Cani Tabs (Calming+Relax)	$264.00	$400.00	$279.00	0	3	telvet
7.75665E+12	Cani Tabs (Skin+Coal)	$185.00	$300.00	$215.00	0	3	telvet
7.75665E+12	Cani Tabs Adulto	$325.00	$400.00	$378.00	1	0	telvet
7.75665E+12	Cani Tabs Cachorro	$315.00	$380.00	$366.00	0	0	telvet
7.79818E+12	Canis Endo Spot 41 A 60 Kg	$0.00	$450.00	$0.00	1	1	- Sin Departamento -
7.79818E+12	Canis Full Spot 41-60kg 	$330.00	$350.00	$380.00	0	2	DYSVET
7.50228E+12	Canoplex (mto De La Piel Y Pelo)	$300.00	$450.00	$370.00	2	2	gomez tagle
7.50228E+12	Canoplex 30 Tabletas	$204.00	$340.00	$240.00	0	1	Diveca
 J4B15346	Captain Tab	$125.00	$15.00	$7.00	0	15	- Sin Departamento -
230101	Carbocan 100ml	$155.00	$300.00	$180.00	2	1	segavet
20240321	Cateter Urinary Con Estilete 	$0.00	$300.00	$250.00	5	0	DEL VALLE
7.50223E+12	Cefa Pets L	$0.00	$500.00	$450.00	0	0	- Sin Departamento -
 C27251	Cefa-Peek 60ml	$140.00	$280.00	$230.00	5	2	DIAGIPE
 F22595	Cefaline 150	$250.00	$450.00	$290.00	0	1	- Sin Departamento -
 F22303	Cefaline 300	$345.00	$500.00	$400.00	0	1	- Sin Departamento -
7.50636E+12	Cefalmed-10 30 Comprimidos 	$295.00	$500.00	$0.00	3	0	ESPINOSA
7.50636E+12	Cefamed-30 Tabletas	$592.00	$750.00	$0.00	3	0	ESPINOSA
7.50304E+12	Cefaxal Rojo 60ml	$130.00	$250.00	$145.00	6	3	TIPACAMU
7.50304E+12	Cefaxal Simple Suspencion 60ml	$118.60	$250.00	$200.00	15	5	TIPACAMU
707634	Cerenia 20ml 	"$1,878.00"	"$2,500.00"	"$2,185.00"	1	1	segavet
 42502N	Chemi Collar Antipulgas	$154.00	$250.00	$0.00	0	0	DIPROFARVET
2230	Chemi Derm Jabon 	$129.00	$140.00	$0.00	4	0	DIPROFARVET
 CHUKUSFASHIONG	Chukus Fashion Bebe 1lt	$348.00	$500.00	$401.00	1	0	DIPROFARVET
 CHUKUSFASHION2	Chukus Fashion Chicle	$64.00	$120.00	$74.00	2	1	DIPROFARVET
 CHUKUSFASHION1	Chukus Fashion Coco	$64.00	$120.00	$74.00	3	1	DIPROFARVET
 CHUKUSGROOMERHIPAL	Chukus Groomer Hipoalergenico	$778.00	"$1,000.00"	$895.00	1	0	DIPROFARVET
 CHUKUSSAHMPOO	Chukus Shapoo Para Perro	$348.00	$500.00	$401.00	1	0	DIPROFARVET
8.85939E+12	Churu Atun De Dieta 	$10.00	$30.00	$20.00	40	0	DYSVET
8.10101E+11	Churu Cangrejo 	$0.00	$100.00	$0.00	6	1	colibri
8.5003E+11	"Churu Premium( Atun, Salmom, Cangrejo) "	$0.00	$25.00	$20.00	40	0	DYSVET
 CHG00027	Cinturon Piel EXG	$0.00	$200.00	$0.00	2	0	accesorios
7.50635E+12	Cis-A-Prid 20 Ml 	$182.00	$260.00	$220.00	2	3	ESPINOSA
7.50223E+12	Cisa Pets L NVR 10 Tab	$0.00	$150.00	$110.00	2	1	SANTA MARIA
7.50223E+12	Cisa Pets Suspension 40 Ml	$164.50	$250.00	$200.00	0	1	SANTA MARIA
7.50223E+12	Cisa Pets XL	$141.00	$300.00	$163.00	0	1	SANTA MARIA
7.50636E+12	Clavam 14 Tab 62.5mg 	$65.00	$120.00	$76.00	2	2	SANTA MARIA
7.50304E+12	Clavam 14 Tabletas 250mg	$118.00	$250.00	$135.00	1	2	SANTA MARIA
 CT381021	Clavam 250 Mg	$140.00	$250.00	$161.00	1	1	DYSVET
7.34448E+11	Clavoxivet Suspencion 60ml 	$201.00	$300.00	$0.00	3	1	aranda 
7.50635E+12	Clemastine 	$180.00	$250.00	$210.00	1	2	ESPINOSA
7.50223E+12	Clinda Pets M 50mg 30tab	$198.00	$280.00	$228.00	1	1	- Sin Departamento -
7.50635E+12	Clindafur-S 30 Ml 	$215.00	$350.00	$250.00	0	1	ESPINOSA
7.50636E+12	Clindamicin-10	$333.00	$600.00	$0.00	2	0	ESPINOSA
7.50636E+12	Clindamicion-30 30 Tabletas	$573.75	$750.00	$0.00	3	0	ESPINOSA
75039936	Clindamin Tabs 20 	$0.00	$250.00	$0.00	3	0	biozoo
7.50649E+11	Clindaserin 	$265.00	$350.00	$310.00	3	1	ESPINOSA
 CRT4722	Clindaxal 220 G 30 Tabletas	$230.00	$400.00	$270.00	3	1	DYSVET
7.79804E+12	Clorexidina Gotas Oticas 	$218.00	$250.00	$251.00	1	2	segavet
7.50634E+12	Clorexivet Plus Jabon	$145.00	$185.00	$165.00	1	2	gomez tagle
7.50634E+12	"Clorexivet Plus, Shampoo, Clorexidina Y Miconazol"	$280.00	$385.00	$310.00	2	2	gomez tagle
7.50636E+12	Clorhexin Gel Antiplaca	$260.00	$350.00	$299.00	2	1	ESPINOSA
7.50635E+12	Closbutil	$55.00	$100.00	$65.00	17	8	ESPINOSA
7.50636E+12	Coccimed-5 	$16.00	$50.00	$21.00	161	30	ESPINOSA
 COL-AVE	Colchon Avenger	$70.00	$150.00	$0.00	1	1	accesorios
 COL-BAT	Colchon Batman	$100.00	$300.00	$0.00	1	1	accesorios
 COL-ELE	Colchon Elefante 	$150.00	$300.00	$0.00	1	1	accesorios
 COL-TIG	Colchon Tigger 	$70.00	$150.00	$0.00	0	1	accesorios
 CHG00114	Collar Agarradera	$0.00	$100.00	$0.00	1	0	accesorios
 CA-CH	Collar Castigo Ch 2mm	$0.00	$60.00	$0.00	3	0	accesorios
 CA-G 	Collar Castigo Grande 4mm	$0.00	$180.00	$0.00	6	0	accesorios
 CA-M	Collar Castigo Mediano 3mm	$0.00	$100.00	$0.00	0	0	accesorios
 CO-DIAS 	Collar De Diamante Chico Rojo	$35.00	$65.00	$0.00	0	0	accesorios
 CO-DIAM	Collar De Diamante Rojo/Plateado	$35.00	$70.00	$0.00	1	0	accesorios
 CO-ESTRE	Collar De Estrellas Azul	$40.00	$80.00	$0.00	1	0	accesorios
 CO-DOS	Collar Dorado S Chico	$51.00	$110.00	$0.00	0	0	accesorios
 COLL-EST	Collar Estampado Chico	$0.00	$50.00	$0.00	1	0	accesorios
 ISABELINO1	Collar Isabelino N.1	$0.00	$130.00	$0.00	2	1	Gav
 ISABELINO2	Collar Isabelino N.2	$72.50	$150.00	$100.00	1	2	Gav
 ISABELINO3	Collar Isabelino N.3	$90.00	$180.00	$140.00	3	2	Gav
 ISABELINO4	Collar Isabelino N.4	$0.00	$230.00	$130.00	2	1	Gav
 ISABELINO5	Collar Isabelino N.5	$0.00	$250.00	$0.00	2	2	Gav
